country,year_month,retail_index
Germany,2015-01,84.5
Germany,2015-02,84.5
Germany,2015-03,84.3
Germany,2015-04,84.9
Germany,2015-05,86.0
Germany,2015-06,85.4
Germany,2015-07,86.6
Germany,2015-08,86.1
Germany,2015-09,86.7
Germany,2015-10,86.5
Germany,2015-11,86.2
Germany,2015-12,88.7
Germany,2016-01,87.3
Germany,2016-02,87.0
Germany,2016-03,86.4
Germany,2016-04,86.4
Germany,2016-05,86.8
Germany,2016-06,86.5
Germany,2016-07,87.6
Germany,2016-08,87.8
Germany,2016-09,87.1
Germany,2016-10,89.8
Germany,2016-11,87.8
Germany,2016-12,90.6
Germany,2017-01,88.4
Germany,2017-02,88.8
Germany,2017-03,91.0
Germany,2017-04,89.8
Germany,2017-05,90.6
Germany,2017-06,90.8
Germany,2017-07,90.8
Germany,2017-08,90.2
Germany,2017-09,92.2
Germany,2017-10,90.6
Germany,2017-11,91.4
Germany,2017-12,93.6
Germany,2018-01,90.8
Germany,2018-02,90.0
Germany,2018-03,91.5
Germany,2018-04,93.4
Germany,2018-05,91.8
Germany,2018-06,92.5
Germany,2018-07,92.5
Germany,2018-08,92.2
Germany,2018-09,92.3
Germany,2018-10,92.9
Germany,2018-11,92.8
Germany,2018-12,93.2
Germany,2019-01,94.2
Germany,2019-02,94.6
Germany,2019-03,94.9
Germany,2019-04,95.2
Germany,2019-05,93.2
Germany,2019-06,96.0
Germany,2019-07,95.7
Germany,2019-08,95.4
Germany,2019-09,96.2
Germany,2019-10,95.2
Germany,2019-11,95.7
Germany,2019-12,96.3
Germany,2020-01,96.5
Germany,2020-02,97.0
Germany,2020-03,95.7
Germany,2020-04,90.5
Germany,2020-05,100.7
Germany,2020-06,100.2
Germany,2020-07,100.5
Germany,2020-08,102.2
Germany,2020-09,101.4
Germany,2020-10,103.9
Germany,2020-11,104.7
Germany,2020-12,99.9
Germany,2021-01,90.6
Germany,2021-02,93.6
Germany,2021-03,103.0
Germany,2021-04,97.0
Germany,2021-05,100.3
Germany,2021-06,105.3
Germany,2021-07,100.4
Germany,2021-08,102.1
Germany,2021-09,100.0
Germany,2021-10,101.9
Germany,2021-11,103.8
Germany,2021-12,102.0
Germany,2022-01,103.6
Germany,2022-02,103.8
Germany,2022-03,103.3
Germany,2022-04,100.0
Germany,2022-05,99.7
Germany,2022-06,97.4
Germany,2022-07,98.7
Germany,2022-08,98.2
Germany,2022-09,99.4
Germany,2022-10,96.5
Germany,2022-11,97.3
Germany,2022-12,96.2
Germany,2023-01,97.0
Germany,2023-02,96.9
Germany,2023-03,95.2
Germany,2023-04,95.8
Germany,2023-05,98.0
Germany,2023-06,97.0
Germany,2023-07,97.0
Germany,2023-08,95.9
Germany,2023-09,95.4
Germany,2023-10,96.5
Germany,2023-11,95.7
Germany,2023-12,95.8
Germany,2024-01,95.5
Germany,2024-02,94.8
Germany,2024-03,96.3
Germany,2024-04,96.5
Germany,2024-05,96.6
Germany,2024-06,95.2
Germany,2024-07,97.0
Germany,2024-08,98.2
Germany,2024-09,99.7
Germany,2024-10,99.2
Germany,2024-11,99.1
Germany,2024-12,99.1
Spain,2015-01,93.6
Spain,2015-02,93.5
Spain,2015-03,94.3
Spain,2015-04,93.7
Spain,2015-05,94.6
Spain,2015-06,93.5
Spain,2015-07,94.8
Spain,2015-08,95.6
Spain,2015-09,96.1
Spain,2015-10,96.5
Spain,2015-11,96.8
Spain,2015-12,97.2
Spain,2016-01,97.7
Spain,2016-02,97.9
Spain,2016-03,97.7
Spain,2016-04,98.3
Spain,2016-05,98.2
Spain,2016-06,98.7
Spain,2016-07,99.2
Spain,2016-08,98.9
Spain,2016-09,99.3
Spain,2016-10,99.1
Spain,2016-11,98.5
Spain,2016-12,98.0
Spain,2017-01,98.8
Spain,2017-02,98.2
Spain,2017-03,98.8
Spain,2017-04,100.0
Spain,2017-05,99.7
Spain,2017-06,100.3
Spain,2017-07,100.2
Spain,2017-08,100.0
Spain,2017-09,100.3
Spain,2017-10,97.6
Spain,2017-11,100.5
Spain,2017-12,100.5
Spain,2018-01,99.8
Spain,2018-02,100.2
Spain,2018-03,100.5
Spain,2018-04,100.7
Spain,2018-05,99.8
Spain,2018-06,100.2
Spain,2018-07,100.0
Spain,2018-08,99.8
Spain,2018-09,99.6
Spain,2018-10,100.3
Spain,2018-11,101.1
Spain,2018-12,101.0
Spain,2019-01,102.2
Spain,2019-02,101.9
Spain,2019-03,101.4
Spain,2019-04,102.0
Spain,2019-05,102.2
Spain,2019-06,102.7
Spain,2019-07,103.0
Spain,2019-08,102.7
Spain,2019-09,103.4
Spain,2019-10,103.0
Spain,2019-11,103.3
Spain,2019-12,103.2
Spain,2020-01,103.1
Spain,2020-02,104.2
Spain,2020-03,88.1
Spain,2020-04,72.1
Spain,2020-05,83.7
Spain,2020-06,98.0
Spain,2020-07,99.4
Spain,2020-08,99.8
Spain,2020-09,99.4
Spain,2020-10,100.1
Spain,2020-11,99.7
Spain,2020-12,101.3
Spain,2021-01,94.6
Spain,2021-02,97.6
Spain,2021-03,100.6
Spain,2021-04,97.8
Spain,2021-05,99.1
Spain,2021-06,100.1
Spain,2021-07,100.3
Spain,2021-08,100.9
Spain,2021-09,101.3
Spain,2021-10,101.6
Spain,2021-11,105.2
Spain,2021-12,101.1
Spain,2022-01,101.1
Spain,2022-02,102.9
Spain,2022-03,100.0
Spain,2022-04,102.2
Spain,2022-05,103.5
Spain,2022-06,102.2
Spain,2022-07,101.7
Spain,2022-08,102.9
Spain,2022-09,102.8
Spain,2022-10,102.4
Spain,2022-11,102.6
Spain,2022-12,102.3
Spain,2023-01,104.5
Spain,2023-02,103.5
Spain,2023-03,104.2
Spain,2023-04,105.4
Spain,2023-05,105.0
Spain,2023-06,105.1
Spain,2023-07,105.2
Spain,2023-08,104.4
Spain,2023-09,103.8
Spain,2023-10,104.4
Spain,2023-11,106.2
Spain,2023-12,104.9
Spain,2024-01,105.5
Spain,2024-02,105.5
Spain,2024-03,105.2
